,dataset,method,fitness_rule,fitness,ACC,MCC,avg_odds_diff,stat_par_diff,eq_opp_diff
309,compas_dataset_reader,gerry_fair_classifier_initializer,acc_parity,0.3651779031985119,0.539708265802269,0.1682613520130317,0.1625026000009377,0.1745303626037571,0.1849679560540169
310,compas_dataset_reader,gerry_fair_classifier_initializer,acc_odds,0.553920537651773,0.666936790923825,0.3200508451490328,0.113016253272052,0.1335218865948874,0.0533747859781922
311,compas_dataset_reader,gerry_fair_classifier_initializer,acc_opportunity,0.5324700162074555,0.6304700162074555,0.2676961968373109,0.1173860531991373,0.1441065181694867,0.0979999999999999
312,adult_dataset_reader,gerry_fair_classifier_initializer,mcc_parity,0.3636691152183574,0.8378109452736319,0.5159690141552257,0.1007625522457821,0.1522998989368682,0.1422864394255791
313,adult_dataset_reader,gerry_fair_classifier_initializer,mcc_odds,0.4421515938692776,0.8360420121614152,0.5251490800153135,0.0829974861460357,0.1537382981570658,0.1084789429105929
314,adult_dataset_reader,gerry_fair_classifier_initializer,mcc_opportunity,0.3824654637974589,0.8417910447761194,0.541449814635586,0.1101523509875266,0.1675493534263358,0.158984350838127
315,adult_dataset_reader,gerry_fair_classifier_initializer,acc_parity,0.7531911555898114,0.75787728026534,0.1091186052860773,0.0055932225404433,0.0046861246755285,0.0111864450808866
316,adult_dataset_reader,gerry_fair_classifier_initializer,acc_odds,0.7524599226091764,0.7524599226091764,0.0,0.0,0.0,0.0
317,adult_dataset_reader,gerry_fair_classifier_initializer,acc_opportunity,0.6809194084101191,0.831951354339414,0.5032716579670063,0.0933148159682559,0.1315649391189762,0.1510319459292949
318,bank_dataset_reader,gerry_fair_classifier_initializer,mcc_parity,0.3513008776169438,0.9024270252541816,0.4477251763111038,0.0552454733359414,0.09642429869416,0.0958980352869149
319,bank_dataset_reader,gerry_fair_classifier_initializer,mcc_odds,0.4146727358848777,0.8963594621187274,0.4447868057352097,0.030114069850332,0.0640331211594646,0.0386547414849301
320,bank_dataset_reader,gerry_fair_classifier_initializer,mcc_opportunity,0.4106795617298008,0.8965234503115775,0.4298660974941767,0.0163291998355723,0.0629438620223199,0.0191865357643758
321,bank_dataset_reader,gerry_fair_classifier_initializer,acc_parity,0.8377495358875083,0.8965234503115775,0.4227256872657795,0.0543386468779758,0.0587739144240692,0.0934622467771639
322,bank_dataset_reader,gerry_fair_classifier_initializer,acc_odds,0.8616027996064172,0.8863561823548705,0.402942097796362,0.0247533827484533,0.0668274192268,0.0257311235923968
323,bank_dataset_reader,gerry_fair_classifier_initializer,acc_opportunity,0.6692506076822838,0.8945555919973762,0.4453353514708004,0.1198819160450756,0.0991127583108715,0.2253049843150923
324,compas_dataset_reader,gerry_fair_classifier_initializer,mcc_parity,0.1624833073268998,0.6572123176661264,0.3020796910721099,0.1288331377362772,0.1395963837452101,0.0891021806514764
325,compas_dataset_reader,gerry_fair_classifier_initializer,mcc_odds,0.1236028278797111,0.6126418152350082,0.2203464529089995,0.0967436250292884,0.1013387576352626,0.0609914824385109
326,compas_dataset_reader,gerry_fair_classifier_initializer,mcc_opportunity,0.1845603902802085,0.666936790923825,0.307348675820172,0.1619446314876882,0.182080274686242,0.1227882855399634
327,compas_dataset_reader,gerry_fair_classifier_initializer,acc_parity,0.543409143180938,0.5494327390599676,-0.0120094548242605,0.0059931184012065,0.0060235958790295,0.01131221719457
328,compas_dataset_reader,gerry_fair_classifier_initializer,acc_odds,0.5483117624444903,0.660453808752026,0.3153875283916379,0.1121420463075356,0.1332639686184462,0.0723140287806007
329,compas_dataset_reader,gerry_fair_classifier_initializer,acc_opportunity,0.5794956857558476,0.6774716369529984,0.3381103645345,0.147666678047847,0.1634175916425706,0.0979759511971507
330,adult_dataset_reader,gerry_fair_classifier_initializer,mcc_parity,0.3859536539559062,0.8364842454394693,0.5138963258295086,0.0632067647235296,0.1279426718736024,0.0849988543323985
331,adult_dataset_reader,gerry_fair_classifier_initializer,mcc_odds,0.4474337704338605,0.8374792703150912,0.5279423397608995,0.080508569327039,0.1481593056879472,0.1070047523535895
332,adult_dataset_reader,gerry_fair_classifier_initializer,mcc_opportunity,0.421826218854262,0.8388059701492537,0.5277944268341992,0.0771980100070954,0.1441435175755576,0.1059682079799371
333,adult_dataset_reader,gerry_fair_classifier_initializer,acc_parity,0.7478347332390327,0.7601990049751244,0.1874504008300156,0.0067756368572566,0.0123642717360916,0.0125957075415559
334,adult_dataset_reader,gerry_fair_classifier_initializer,acc_odds,0.768999068393649,0.7747927031509121,0.2438722560923442,0.0057936347572631,0.0190654794659591,0.0099639166803345
